epoch,utc_time,stage,total_versions,max_versions,total_rowsets,max_rowsets,total_segments,max_segments,data_size,num_rows
1787908503.557546,2026-08-28T09:15:03+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,643205299.0,22878.0
1787908508.571765,2026-08-28T09:15:08+00:00,http_log_35m_x1,18.0,18.0,18.0,18.0,18.0,18.0,647786936.0,23033.0
1787908513.590761,2026-08-28T09:15:13+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,651626965.0,23188.0
1787908518.615572,2026-08-28T09:15:18+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,655797130.0,23343.0
1787908523.641013,2026-08-28T09:15:23+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,660571163.0,23498.0
1787908528.658714,2026-08-28T09:15:28+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,664825352.0,23653.0
1787908533.6770828,2026-08-28T09:15:33+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,669687373.0,23808.0
1787908538.701183,2026-08-28T09:15:38+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,673977426.0,23963.0
1787908543.720779,2026-08-28T09:15:43+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,677959502.0,24118.0
1787908548.7420318,2026-08-28T09:15:48+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,683017439.0,24273.0
1787908553.75443,2026-08-28T09:15:53+00:00,http_log_35m_x1,16.0,16.0,16.0,16.0,16.0,16.0,686559572.0,24428.0
1787908558.771266,2026-08-28T09:15:58+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,691365776.0,24583.0
1787908563.7917418,2026-08-28T09:16:03+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,696116939.0,24738.0
1787908568.8171258,2026-08-28T09:16:08+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,700491584.0,24893.0
1787908573.835082,2026-08-28T09:16:13+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,704362876.0,25048.0
1787908578.8537989,2026-08-28T09:16:18+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,708791135.0,25203.0
1787908583.878295,2026-08-28T09:16:23+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,714230001.0,25389.0
1787908588.8955572,2026-08-28T09:16:28+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,717120530.0,25513.0
1787908593.9209752,2026-08-28T09:16:33+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,721911523.0,25668.0
1787908598.934939,2026-08-28T09:16:38+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,727621717.0,25854.0
1787908603.950759,2026-08-28T09:16:43+00:00,http_log_35m_x1,7.0,7.0,7.0,7.0,7.0,7.0,730927389.0,26009.0
1787908608.974606,2026-08-28T09:16:49+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,735491060.0,26164.0
1787908613.9964569,2026-08-28T09:16:54+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,739956618.0,26319.0
1787908619.021915,2026-08-28T09:16:59+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,744519426.0,26474.0
1787908624.044509,2026-08-28T09:17:04+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,748787390.0,26629.0
1787908629.066129,2026-08-28T09:17:09+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,752794129.0,26784.0
1787908634.084193,2026-08-28T09:17:14+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,757841731.0,26939.0
